Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
5760 , 603.1857894892403 , 7.559859796865029 , 4560 , 0.778 , 106.8 , 47.6
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 96.8 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_STAGE1_MIN, MODULE_STAGE1_MAX, MODULE_STAGE2_MIN, MODULE_STAGE2_MAX, NUM_PLANET_STAGE1_MIN, NUM_PLANET_STAGE1_MAX, NUM_PLANET_STAGE2_MIN, NUM_PLANET_STAGE2_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 3 , 7 , 18 , 28 , 4 , 45 , 1
 
iter, gearRatio, module1, module2, Ns1, Np1, Nr1, numPlanet1, Ns2, Np2, Nr2, numPlanet2, fwSun1MM, fwPlanet1MM, fwRing1MM, fwSun2MM, fwPlanet2MM, fwRing2MM, Opt_PSC_sun1,  Opt_PSC_planet1, Opt_PSC_ring1, Opt_PSC_sun2, Opt_PSC_planet2, Opt_PSC_ring2, Opt_CD_SP1, Opt_CD_PR1, Opt_CD_SP2, Opt_CD_PR2, mass, eff, peakTorque, Cost, Torque_Density
42 , 28.181818181818183 , 0.6 , 0.7 , 27 , 66 , 159 , 3 , 44 , 46 , 136 , 4 , 3.685 , 8.0 , 8.0 , 7.552 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 27.9 , 27.9 , 31.499999999999996 , 31.499999999999996 , 1.597 , 0.929 , 213.051 , 3.187516956007666 , 133.4070131496556
43 , 29.027667984189726 , 0.5 , 1.2 , 33 , 75 , 183 , 3 , 23 , 28 , 79 , 3 , 4.036 , 8.0 , 8.0 , 7.879 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 27.0 , 27.0 , 30.599999999999998 , 30.599999999999998 , 1.585 , 0.914 , 219.445 , 3.618988383296341 , 138.45110410094637
49 , 30.079395085066164 , 0.7 , 1.2 , 23 , 55 , 133 , 3 , 23 , 28 , 79 , 3 , 3.399 , 8.0 , 8.0 , 8.165 , 8.165 , 8.165 , 0 , 0 , 0 , 0 , 0 , 0 , 27.299999999999997 , 27.299999999999997 , 30.599999999999998 , 30.599999999999998 , 1.584 , 0.903 , 227.396 , 3.5178926056199282 , 143.5580808080808
46 , 31.190082644628102 , 0.5 , 1.2 , 33 , 78 , 189 , 3 , 22 , 29 , 80 , 3 , 4.03 , 8.0 , 8.0 , 8.588 , 8.588 , 8.588 , 0 , 0 , 0 , 0 , 0 , 0 , 27.75 , 27.75 , 30.599999999999998 , 30.599999999999998 , 1.596 , 0.914 , 235.793 , 3.821964507445191 , 147.73997493734336
42 , 32.0 , 0.6 , 1.2 , 27 , 63 , 153 , 3 , 20 , 28 , 76 , 3 , 3.693 , 8.0 , 8.0 , 9.727 , 9.727 , 9.727 , 0 , 0 , 0 , 0 , 0 , 0 , 27.0 , 27.0 , 28.799999999999997 , 28.799999999999997 , 1.557 , 0.905 , 241.916 , 3.769968792842406 , 155.37315350032114
40 , 33.06666666666667 , 0.6 , 1.2 , 27 , 66 , 159 , 3 , 20 , 28 , 76 , 3 , 3.685 , 8.0 , 8.0 , 10.051 , 10.051 , 10.051 , 0 , 0 , 0 , 0 , 0 , 0 , 27.9 , 27.9 , 28.799999999999997 , 28.799999999999997 , 1.561 , 0.905 , 249.979 , 3.9610108871046483 , 160.1402946828956
35 , 34.10526315789473 , 0.7 , 1.2 , 24 , 57 , 138 , 3 , 19 , 29 , 77 , 3 , 3.201 , 8.0 , 8.0 , 10.541 , 10.541 , 10.541 , 0 , 0 , 0 , 0 , 0 , 0 , 28.349999999999998 , 28.349999999999998 , 28.799999999999997 , 28.799999999999997 , 1.568 , 0.9 , 257.831 , 4.666594200856867 , 164.43303571428572
39 , 35.42857142857143 , 0.6 , 1.1 , 27 , 66 , 159 , 3 , 21 , 33 , 87 , 3 , 3.685 , 8.0 , 8.0 , 11.061 , 11.061 , 11.061 , 0 , 0 , 0 , 0 , 0 , 0 , 27.9 , 27.9 , 29.700000000000003 , 29.700000000000003 , 1.586 , 0.91 , 267.835 , 4.3204550486514215 , 168.87452711223202
40 , 36.0 , 0.7 , 1.2 , 24 , 57 , 138 , 3 , 18 , 30 , 78 , 3 , 3.201 , 8.0 , 8.0 , 11.326 , 11.326 , 11.326 , 0 , 0 , 0 , 0 , 0 , 0 , 28.349999999999998 , 28.349999999999998 , 28.799999999999997 , 28.799999999999997 , 1.578 , 0.899 , 272.155 , 4.853863824001625 , 172.46831432192647
36 , 37.0 , 0.5 , 1.1 , 34 , 77 , 188 , 3 , 18 , 33 , 84 , 3 , 3.877 , 8.0 , 8.0 , 12.954 , 12.954 , 12.954 , 0 , 0 , 0 , 0 , 0 , 0 , 27.75 , 27.75 , 28.05 , 28.05 , 1.588 , 0.911 , 279.715 , 4.505809545577829 , 176.14294710327454
33 , 38.121212121212125 , 0.5 , 1.1 , 33 , 78 , 189 , 3 , 18 , 33 , 84 , 3 , 4.03 , 8.0 , 8.0 , 13.347 , 13.347 , 13.347 , 0 , 0 , 0 , 0 , 0 , 0 , 27.75 , 27.75 , 28.05 , 28.05 , 1.591 , 0.911 , 288.191 , 5.073600956768238 , 181.1382778126964
32 , 39.03703703703704 , 0.6 , 1.1 , 27 , 66 , 159 , 3 , 18 , 33 , 84 , 3 , 3.685 , 8.0 , 8.0 , 13.668 , 13.668 , 13.668 , 0 , 0 , 0 , 0 , 0 , 0 , 27.9 , 27.9 , 28.05 , 28.05 , 1.592 , 0.905 , 295.115 , 5.630102195782204 , 185.37374371859295
21 , 40.0 , 0.6 , 1.0 , 27 , 63 , 153 , 3 , 19 , 38 , 95 , 3 , 3.693 , 8.0 , 8.0 , 14.728 , 14.728 , 14.728 , 0 , 0 , 0 , 0 , 0 , 0 , 27.0 , 27.0 , 28.5 , 28.5 , 1.61 , 0.909 , 302.394 , 4.44363783912853 , 187.8223602484472
25 , 41.333333333333336 , 0.6 , 1.0 , 27 , 66 , 159 , 3 , 19 , 38 , 95 , 3 , 3.685 , 8.0 , 8.0 , 15.219 , 15.219 , 15.219 , 0 , 0 , 0 , 0 , 0 , 0 , 27.9 , 27.9 , 28.5 , 28.5 , 1.616 , 0.909 , 312.474 , 4.8715035127638675 , 193.36262376237622
20 , 42.07142857142857 , 0.6 , 1.0 , 28 , 65 , 158 , 3 , 18 , 39 , 96 , 3 , 3.511 , 8.0 , 8.0 , 15.779 , 15.779 , 15.779 , 0 , 0 , 0 , 0 , 0 , 0 , 27.9 , 27.9 , 28.5 , 28.5 , 1.626 , 0.909 , 318.054 , 4.8715035127638675 , 195.60516605166052
15 , 43.62962962962963 , 0.6 , 1.0 , 27 , 66 , 159 , 3 , 18 , 39 , 96 , 3 , 3.685 , 8.0 , 8.0 , 16.363 , 16.363 , 16.363 , 0 , 0 , 0 , 0 , 0 , 0 , 27.9 , 27.9 , 28.5 , 28.5 , 1.63 , 0.908 , 329.834 , 6.131379356771754 , 202.35214723926381
11 , 44.05263157894737 , 0.6 , 0.9 , 28 , 65 , 158 , 3 , 19 , 44 , 107 , 3 , 3.511 , 8.0 , 8.0 , 17.962 , 17.962 , 17.962 , 0 , 0 , 0 , 0 , 0 , 0 , 27.9 , 27.9 , 28.35 , 28.35 , 1.644 , 0.912 , 333.032 , 5.294966008685038 , 202.57420924574208
8 , 45.684210526315795 , 0.6 , 0.9 , 27 , 66 , 159 , 3 , 19 , 44 , 107 , 3 , 3.685 , 8.0 , 8.0 , 18.628 , 18.628 , 18.628 , 0 , 0 , 0 , 0 , 0 , 0 , 27.9 , 27.9 , 28.35 , 28.35 , 1.649 , 0.911 , 345.366 , 5.727194430018228 , 209.43966040024256


Running Time (sec)
67428.85275936127
